n_assets,emission_limit,recycling_min,feasible,total_cost_usd,total_emissions_kgco2,avg_recycling_eff,total_tokens,avg_latency_s,avg_gas_cost_usd,zkp_prove_time_s,zkp_verify_time_ms,theta,rho_min,lambda_token,onchain_ratio,use_zkp
1000,44271.1,0.65,0,,,,,,,,,,,,,
1000,44271.1,0.7,0,,,,,,,,,,,,,
1000,44271.1,0.75,0,,,,,,,,,,,,,
1000,44271.1,0.8,0,,,,,,,,,,,,,
1000,44271.1,0.85,0,,,,,,,,,,,,,
1000,44271.1,0.9,0,,,,,,,,,,,,,
1000,47433.33,0.65,0,,,,,,,,,,,,,
1000,47433.33,0.7,0,,,,,,,,,,,,,
1000,47433.33,0.75,0,,,,,,,,,,,,,
1000,47433.33,0.8,0,,,,,,,,,,,,,
1000,47433.33,0.85,0,,,,,,,,,,,,,
1000,47433.33,0.9,0,,,,,,,,,,,,,
1000,50595.55,0.65,0,,,,,,,,,,,,,
1000,50595.55,0.7,0,,,,,,,,,,,,,
1000,50595.55,0.75,0,,,,,,,,,,,,,
1000,50595.55,0.8,0,,,,,,,,,,,,,
1000,50595.55,0.85,0,,,,,,,,,,,,,
1000,50595.55,0.9,0,,,,,,,,,,,,,
1000,53757.77,0.65,0,,,,,,,,,,,,,
1000,53757.77,0.7,0,,,,,,,,,,,,,
1000,53757.77,0.75,0,,,,,,,,,,,,,
1000,53757.77,0.8,0,,,,,,,,,,,,,
1000,53757.77,0.85,0,,,,,,,,,,,,,
1000,53757.77,0.9,0,,,,,,,,,,,,,
1000,56919.99,0.65,0,,,,,,,,,,,,,
1000,56919.99,0.7,0,,,,,,,,,,,,,
1000,56919.99,0.75,0,,,,,,,,,,,,,
1000,56919.99,0.8,0,,,,,,,,,,,,,
1000,56919.99,0.85,0,,,,,,,,,,,,,
1000,56919.99,0.9,0,,,,,,,,,,,,,
1000,60082.21,0.65,0,,,,,,,,,,,,,
1000,60082.21,0.7,0,,,,,,,,,,,,,
1000,60082.21,0.75,0,,,,,,,,,,,,,
1000,60082.21,0.8,0,,,,,,,,,,,,,
1000,60082.21,0.85,0,,,,,,,,,,,,,
1000,60082.21,0.9,0,,,,,,,,,,,,,
1000,63244.43,0.65,1,3215.9629597636485,63195.52785576107,0.7662036997045604,129629.59763648297,0.6,0.04800000000000001,1.2,18.0,0.6,0.75,8.0,0.2,1.0
1000,63244.43,0.7,1,3215.9629597636485,63195.52785576107,0.7662036997045604,129629.59763648297,0.6,0.04800000000000001,1.2,18.0,0.6,0.75,8.0,0.2,1.0
1000,63244.43,0.75,1,3215.9629597636485,63195.52785576107,0.7662036997045604,129629.59763648297,0.6,0.04800000000000001,1.2,18.0,0.6,0.75,8.0,0.2,1.0
1000,63244.43,0.8,0,,,,,,,,,,,,,
1000,63244.43,0.85,0,,,,,,,,,,,,,
1000,63244.43,0.9,0,,,,,,,,,,,,,
