metric,parameter,multiplier,baseline_value,new_value,pct_change
pct_total_cost_usd,c_cm,1.2,40.0,48.0,12.465651716256342
pct_total_cost_usd,c_cm,0.8,40.0,32.0,-12.46565171625633
pct_total_cost_usd,c_pm,0.8,8.0,6.4,-6.482138892453291
pct_total_cost_usd,c_pm,1.2,8.0,9.6,6.482138892453291
pct_total_cost_usd,downtime_cost,0.8,5.0,4.0,-0.716774973684739
pct_total_cost_usd,downtime_cost,1.2,5.0,6.0,0.7167749736847248
pct_total_cost_usd,gas_usd_base,0.5,0.06,0.03,-0.5609543272315348
pct_total_cost_usd,gas_usd_base,1.5,0.06,0.09,0.5609543272315348
pct_total_emissions_kgco2,emission_factor,0.85,4.0,3.4,-18.47686373718736
pct_total_emissions_kgco2,emission_factor,1.15,4.0,4.6,18.47686373718736
pct_total_emissions_kgco2,panel_mass_kg,1.1,19.5,21.450000000000003,10.000000000000025
pct_total_emissions_kgco2,panel_mass_kg,0.9,19.5,17.55,-9.999999999999991
pct_total_emissions_kgco2,avoided_factor,0.8,1.0,0.8,4.678930998303251
pct_total_emissions_kgco2,avoided_factor,1.2,1.0,1.2,-4.678930998303251
pct_total_emissions_kgco2,c_pm,0.8,8.0,6.4,0.0
pct_total_emissions_kgco2,c_pm,1.2,8.0,9.6,0.0
pct_total_tokens,c_cm,1.2,40.0,48.0,0.0
pct_total_tokens,c_cm,0.8,40.0,32.0,0.0
pct_total_tokens,c_pm,0.8,8.0,6.4,0.0
pct_total_tokens,c_pm,1.2,8.0,9.6,0.0
pct_total_tokens,downtime_cost,0.8,5.0,4.0,0.0
pct_total_tokens,downtime_cost,1.2,5.0,6.0,0.0
pct_total_tokens,gas_usd_base,0.5,0.06,0.03,0.0
pct_total_tokens,gas_usd_base,1.5,0.06,0.09,0.0
pct_avg_latency_s,latency_base,1.2,0.35,0.42,11.66666666666666
pct_avg_latency_s,latency_base,0.8,0.35,0.2799999999999999,-11.66666666666666
pct_avg_latency_s,latency_zkp_overhead,0.8,0.2,0.16,-6.666666666666655
pct_avg_latency_s,latency_zkp_overhead,1.2,0.2,0.24,6.666666666666655
pct_avg_latency_s,downtime_cost,0.8,5.0,4.0,0.0
pct_avg_latency_s,downtime_cost,1.2,5.0,6.0,0.0
pct_avg_latency_s,c_pm,0.8,8.0,6.4,0.0
pct_avg_latency_s,c_pm,1.2,8.0,9.6,0.0
pct_avg_gas_cost_usd,gas_usd_base,0.5,0.06,0.03,-37.5
pct_avg_gas_cost_usd,gas_usd_base,1.5,0.06,0.09,37.49999999999999
pct_avg_gas_cost_usd,gas_usd_zkp_overhead,0.5,0.02,0.01,-12.500000000000009
pct_avg_gas_cost_usd,gas_usd_zkp_overhead,1.5,0.02,0.03,12.499999999999996
pct_avg_gas_cost_usd,c_cm,0.8,40.0,32.0,0.0
pct_avg_gas_cost_usd,c_cm,1.2,40.0,48.0,0.0
pct_avg_gas_cost_usd,downtime_cost,1.2,5.0,6.0,0.0
pct_avg_gas_cost_usd,downtime_cost,0.8,5.0,4.0,0.0
