alpha,beta,rank,score,n_assets,total_cost_usd,total_emissions_kgco2,avg_recycling_eff,total_tokens,avg_latency_s,avg_gas_cost_usd,zkp_prove_time_s,zkp_verify_time_ms,theta,rho_min,lambda_token,onchain_ratio,use_zkp
0.0,0.0,1,0.0,1000,3996.396279349505,63554.65395394294,0.7469669767208746,0.0,0.575,0.24000000000000005,1.2,18.0,0.55,0.75,4.0,0.1,1
0.0,0.0,2,0.0008009769020206255,1000,4006.173896144077,63345.44483753175,0.757695649357346,46173.896144076076,0.575,0.24000000000000005,1.2,18.0,0.55,0.75,6.0,0.1,1
0.0,0.0,3,0.0021450809728897294,1000,4022.581528503797,63860.34009708799,0.7312907642518981,62581.528503796275,0.575,0.24000000000000005,1.2,18.0,0.55,0.7,2.0,0.1,1
0.0,0.0,4,0.006326910259831531,1000,4073.6295976364836,63218.537855761075,0.7642036997045604,113629.59763648294,0.575,0.24000000000000005,1.2,18.0,0.55,0.75,8.0,0.1,1
0.0,0.0,5,0.009502655154779162,1000,4112.396279349505,63534.763953942944,0.7489669767208746,0.0,0.6,0.4800000000000001,1.2,18.0,0.55,0.75,4.0,0.2,1
0.0,0.0,6,0.01033702507183724,1000,4122.581528503796,63860.34009708799,0.7312907642518981,162581.52850379614,0.575,0.24000000000000005,1.2,18.0,0.55,0.65,2.0,0.1,1
0.0,0.0,7,0.011654636750777558,1000,4138.665765200548,63147.11175785893,0.7678665765200547,178665.76520054744,0.575,0.24000000000000005,1.2,18.0,0.55,0.75,10.0,0.1,1
0.0,0.0,8,0.012408471053350946,1000,4147.8679068835,63554.65395394294,0.7469669767208746,187867.90688349874,0.575,0.24000000000000005,1.2,18.0,0.55,0.7,4.0,0.1,1
0.0,0.0,9,0.01325273193242088,1000,4158.173896144076,63325.55483753175,0.759695649357346,58173.89614407609,0.6,0.4800000000000001,1.2,18.0,0.55,0.75,6.0,0.2,1
0.0,0.0,10,0.013941480475374178,1000,4166.581528503796,63840.45009708799,0.7332907642518981,66581.52850379627,0.6,0.4800000000000001,1.2,18.0,0.55,0.7,2.0,0.2,1
0.0,0.5,1,0.11218899088955234,1000,5365.900142345411,62929.587731311294,0.7878416548045492,0.0,0.8,2.4,1.2,18.0,0.55,0.8,12.0,1.0,1
0.0,0.5,2,0.11629147285375867,1000,5133.900142345412,62969.36773131129,0.7838416548045491,0.0,0.75,1.9200000000000004,1.2,18.0,0.55,0.8,12.0,0.8,1
0.0,0.5,3,0.12039395481796486,1000,4901.900142345411,63009.14773131129,0.7798416548045491,0.0,0.7,1.44,1.2,18.0,0.55,0.8,12.0,0.6,1
0.0,0.5,4,0.1205085096122705,1000,4198.09985765459,63108.597731311296,0.7698416548045491,238099.85765458964,0.575,0.24000000000000005,1.2,18.0,0.55,0.75,12.0,0.1,1
0.0,0.5,5,0.12238940179766221,1000,4362.09985765459,63088.7077313113,0.7718416548045491,262099.85765458964,0.6,0.4800000000000001,1.2,18.0,0.55,0.75,12.0,0.2,1
0.0,0.5,6,0.12449643678217114,1000,4669.900142345411,63048.92773131129,0.7758416548045491,0.0,0.6499999999999999,0.9600000000000002,1.2,18.0,0.55,0.8,12.0,0.4,1
0.0,0.5,7,0.12554048327789705,1000,5389.601081759343,62968.10175785893,0.7858665765200548,0.0,0.8,2.4,1.2,18.0,0.55,0.8,10.0,1.0,1
